id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
50211203,Central & quiet location with balcony,4313578,Jonas,Frederiksberg,55.67677998879539,12.549350694345364,Entire home/apt,1000.0,7,1,2023-10-22,0.04,1,260,0
50214188,Bright apt w/ balcony  near metro & waterfront,405303339,Helen,Østerbro,55.70689,12.58647,Entire home/apt,1125.0,2,11,2025-07-28,0.27,1,60,1
50222732,Nørrebro family-friendly flat,13489400,Clara Rebecca,Nørrebro,55.7017,12.55236,Entire home/apt,855.0,3,7,2025-09-14,0.49,1,39,5
50223903,Cozy apartment with sunny balcony in trendy area,166649563,Sophie,Nørrebro,55.69081,12.56398,Entire home/apt,1195.0,3,18,2023-03-19,0.35,1,10,0
50228458,Entire apartment in the heart of the city,21608552,Sheena Marie,Nørrebro,55.69604,12.54771,Entire home/apt,1679.0,3,18,2025-08-15,0.35,1,116,2
50236165,Cozy apartment with the best location!,15039349,Emma,Nørrebro,55.68546,12.5585,Entire home/apt,1500.0,2,9,2024-08-16,0.18,1,175,0
50256731,A rare beautiful town house in Copenhagen,6423428,Anne,Vesterbro-Kongens Enghave,55.66867,12.53836,Entire home/apt,2380.0,3,28,2025-07-27,0.58,1,240,6
50272284,Bright 94m2 apartment on Nørrebro,107631335,Maria,Nørrebro,55.70209,12.54865,Entire home/apt,930.0,2,42,2025-09-19,0.82,1,3,10
50287293,Skøn lille lejlighed i København,2893544,Ann,Vanløse,55.68792,12.48422,Entire home/apt,639.0,3,119,2025-09-02,2.3,1,180,19
50318314,122 m2 charming apartment close to the lakes,19565010,Anne Kristine,Frederiksberg,55.68099,12.55223,Entire home/apt,6000.0,5,7,2023-08-07,0.14,1,178,0
50325933,Comfy room,406398097,Susann,Østerbro,55.69875,12.58218,Private room,519.0,3,55,2025-09-07,2.45,1,183,19
50327398,I hjertet af Vesterbro.,120539335,Malene,Vesterbro-Kongens Enghave,55.6697387,12.545311,Entire home/apt,1395.0,2,24,2025-09-28,1.97,1,57,24
50327607,Large and cozy apartment,22829272,Ida,Vesterbro-Kongens Enghave,55.66791,12.54966,Entire home/apt,2900.0,7,8,2025-07-31,0.2,1,303,2
50367389,"Lovely apartment near beach, airport and Metro",35749235,Molly,Amager Øst,55.66203,12.62572,Entire home/apt,1086.0,6,14,2025-07-25,0.27,1,6,3
